Language,Area,Lexifier,FirstMajorSettlement,EndOfInfluence,ContactConditions,LanguageContact,Class,Position,LexifierPhoneme,CreolePhoneme,PlaceStability,MannerStability,Word,Gloss,Source
Fa d'Ambô,Gulf of Guinea,Portuguese,1543,1968,Slavery,"Edo, Kikongo",Nasals,word-medial,ɲ,Ø,0,0,[kʰama],road,HagemeijerMaurerZamora2020[313]
Angolar,Gulf of Guinea,Portuguese,1493,1530,Slavery,Kimbundu,Stops,word-initial,p,p,1,1,[pɛ̀nθà],to think,Maurer2013
Angolar,Gulf of Guinea,Portuguese,1493,1530,Slavery,Kimbundu,Stops,word-medial,p,p,1,1,[kapatazi],foreman,Araujo2010[17]
Angolar,Gulf of Guinea,Portuguese,1493,1530,Slavery,Kimbundu,Stops,word-initial,b,b,1,1,[bɛːga],belly,Hagemeijer2019[772]
Angolar,Gulf of Guinea,Portuguese,1493,1530,Slavery,Kimbundu,Stops,word-medial,b,b,1,1,[bebe],to drink,Hagemeijer2019[772]
Angolar,Gulf of Guinea,Portuguese,1493,1530,Slavery,Kimbundu,Stops,word-initial,t,t,1,1,[taba],wood plank,Maurer2013
Angolar,Gulf of Guinea,Portuguese,1493,1530,Slavery,Kimbundu,Stops,word-medial,t,t,1,1,[latu],mouse,Ferraz1979[10]
Angolar,Gulf of Guinea,Portuguese,1493,1530,Slavery,Kimbundu,Stops,word-initial,d,r,1,0,[relu],money,Araujo2010[19]
Angolar,Gulf of Guinea,Portuguese,1493,1530,Slavery,Kimbundu,Stops,word-medial,d,r,1,0,[ˈvira],life,Hagemeijer2019[768]
Angolar,Gulf of Guinea,Portuguese,1493,1530,Slavery,Kimbundu,Stops,word-initial,k,k,1,1,[kabalu],horse,Hagemeijer2019[772]
Angolar,Gulf of Guinea,Portuguese,1493,1530,Slavery,Kimbundu,Stops,word-medial,k,k,1,1,[θeku],dry,Maurer2013
Angolar,Gulf of Guinea,Portuguese,1493,1530,Slavery,Kimbundu,Stops,word-initial,g,g,1,1,[ŋgaȷ̃a],chicken,Araujo2010[17]
Angolar,Gulf of Guinea,Portuguese,1493,1530,Slavery,Kimbundu,Stops,word-medial,g,g,1,1,[bɛːga],belly,Hagemeijer2019[772]
Angolar,Gulf of Guinea,Portuguese,1493,1530,Slavery,Kimbundu,Fricatives,word-initial,v,b,0,0,[bi],to come,Araujo2010[16]
Angolar,Gulf of Guinea,Portuguese,1493,1530,Slavery,Kimbundu,Fricatives,word-medial,v,b,0,0,[laba],to wash,Hagemeijer2019[772]
Angolar,Gulf of Guinea,Portuguese,1493,1530,Slavery,Kimbundu,Fricatives,word-initial,f,f,1,1,[favolo],favor,Hagemeijer2019[768]
Angolar,Gulf of Guinea,Portuguese,1493,1530,Slavery,Kimbundu,Fricatives,word-medial,f,NA,NA,NA,NA,NA,NA
Angolar,Gulf of Guinea,Portuguese,1493,1530,Slavery,Kimbundu,Fricatives,word-initial,s,θ,1,0,[θeku],dry,Maurer2013
Angolar,Gulf of Guinea,Portuguese,1493,1530,Slavery,Kimbundu,Fricatives,word-medial,s,θ,1,0,[baθua],broom,Hagemeijer2019[772]
Angolar,Gulf of Guinea,Portuguese,1493,1530,Slavery,Kimbundu,Fricatives,word-initial,z,NA,NA,NA,NA,NA,NA
Angolar,Gulf of Guinea,Portuguese,1493,1530,Slavery,Kimbundu,Fricatives,word-medial,z,ð,0,1,[aða],wing,Maurer2013
Angolar,Gulf of Guinea,Portuguese,1493,1530,Slavery,Kimbundu,Fricatives,word-initial,t̠ʃ,θ,0,0,[θavi],key,Hagemeijer2019[773]
Angolar,Gulf of Guinea,Portuguese,1493,1530,Slavery,Kimbundu,Fricatives,word-medial,t̠ʃ,θ,0,0,[kaθo],dog,Araujo2010[17]
Angolar,Gulf of Guinea,Portuguese,1493,1530,Slavery,Kimbundu,Fricatives,word-initial,ʒ,ð,0,1,[ðuga],to tʱrow,Araujo2010[19]
Angolar,Gulf of Guinea,Portuguese,1493,1530,Slavery,Kimbundu,Fricatives,word-medial,ʒ,ð,0,1,[θuðu],dirty,Maurer2013
Angolar,Gulf of Guinea,Portuguese,1493,1530,Slavery,Kimbundu,Rhotics,word-medial,ɾ,∅,0,0,[baθua],broom,Hagemeijer2019[772]
Angolar,Gulf of Guinea,Portuguese,1493,1530,Slavery,Kimbundu,Rhotics,word-final,ɾ,l,1,0,[delu],money,Araujo2010[19]
Angolar,Gulf of Guinea,Portuguese,1493,1530,Slavery,Kimbundu,Rhotics,word-initial,r,l,1,0,[lemu],oar,Maurer2013
Angolar,Gulf of Guinea,Portuguese,1493,1530,Slavery,Kimbundu,Rhotics,word-medial,r,∅,0,0,[bɛːga],belly,Hagemeijer2019[772]
Angolar,Gulf of Guinea,Portuguese,1493,1530,Slavery,Kimbundu,Laterals,word-initial,l,l,1,1,[laba],to wash,Hagemeijer2019[772]
Angolar,Gulf of Guinea,Portuguese,1493,1530,Slavery,Kimbundu,Laterals,word-medial,l,l,1,1,[kabalu],horse,Hagemeijer2019[772]
Angolar,Gulf of Guinea,Portuguese,1493,1530,Slavery,Kimbundu,Laterals,word-final,l,l,1,1,[θolo],sun,Maurer2013
Angolar,Gulf of Guinea,Portuguese,1493,1530,Slavery,Kimbundu,Laterals,word-medial,ʎ,j,1,0,[fja],leaf,Araujo2010[17]
Angolar,Gulf of Guinea,Portuguese,1493,1530,Slavery,Kimbundu,Nasals,word-initial,m,m,1,1,[masivi],young man,Ferraz1979[104]
Angolar,Gulf of Guinea,Portuguese,1493,1530,Slavery,Kimbundu,Nasals,word-medial,m,m,1,1,[ome],man,Maurer2013
Angolar,Gulf of Guinea,Portuguese,1493,1530,Slavery,Kimbundu,Nasals,word-initial,n,n,1,1,[nɔvu],new,Hagemeijer2019[768]
Angolar,Gulf of Guinea,Portuguese,1493,1530,Slavery,Kimbundu,Nasals,word-medial,n,n,1,1,[θono],sleepiness,Maurer2013
Angolar,Gulf of Guinea,Portuguese,1493,1530,Slavery,Kimbundu,Nasals,word-medial,ɲ,∅,0,0,[relu],money,Araujo2010[19]
Guinea-Bissau Kriyol,Upper Guinea,Portuguese,1493,1530,Slavery,Kimbundu,Stops,word-initial,p,p,1,1,[pɛna],feather,own knowledge (Chiara Truppi)
Guinea-Bissau Kriyol,Upper Guinea,Portuguese,1493,1530,Slavery,Kimbundu,Stops,word-medial,p,p,1,1,[tripa],guts,own knowledge (Chiara Truppi)
Guinea-Bissau Kriyol,Upper Guinea,Portuguese,1493,1530,Slavery,Kimbundu,Stops,word-initial,b,b,1,1,[bariga],belly,own knowledge (Chiara Truppi)
Guinea-Bissau Kriyol,Upper Guinea,Portuguese,1493,1530,Slavery,Kimbundu,Stops,word-medial,b,b,1,1,[kabelu],hair,own knowledge (Chiara Truppi)
Guinea-Bissau Kriyol,Upper Guinea,Portuguese,1493,1530,Slavery,Kimbundu,Stops,word-initial,t,t,1,1,[tudu],everything,own knowledge (Chiara Truppi)
Guinea-Bissau Kriyol,Upper Guinea,Portuguese,1493,1530,Slavery,Kimbundu,Stops,word-medial,t,t,1,1,[mata],to kill,own knowledge (Chiara Truppi)
Guinea-Bissau Kriyol,Upper Guinea,Portuguese,1493,1530,Slavery,Kimbundu,Stops,word-initial,d,d,1,1,[dibi],to owe,own knowledge (Chiara Truppi)
Guinea-Bissau Kriyol,Upper Guinea,Portuguese,1493,1530,Slavery,Kimbundu,Stops,word-medial,d,d,1,1,[tudu],everything,own knowledge (Chiara Truppi)
Guinea-Bissau Kriyol,Upper Guinea,Portuguese,1493,1530,Slavery,Kimbundu,Stops,word-initial,k,k,1,1,[kabelu],hair,own knowledge (Chiara Truppi)
Guinea-Bissau Kriyol,Upper Guinea,Portuguese,1493,1530,Slavery,Kimbundu,Stops,word-medial,k,k,1,1,[seku],dry,own knowledge (Chiara Truppi)
Guinea-Bissau Kriyol,Upper Guinea,Portuguese,1493,1530,Slavery,Kimbundu,Stops,word-initial,g,g,1,1,[gurdu],fat,own knowledge (Chiara Truppi)
Guinea-Bissau Kriyol,Upper Guinea,Portuguese,1493,1530,Slavery,Kimbundu,Stops,word-medial,g,g,1,1,[bariga],belly,own knowledge (Chiara Truppi)
Guinea-Bissau Kriyol,Upper Guinea,Portuguese,1493,1530,Slavery,Kimbundu,Fricatives,word-initial,v,b,0,0,[bɛd̠ʒu],old man,Hagemeijer2019[768]
